City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
140,port elizabeth,-33.918,25.5701,14.62,69,0,4.12,ZA,1681518542
141,gawler,-34.6,138.7333,16.25,96,96,5.53,AU,1681518543
142,hithadhoo,-0.6,73.0833,28.74,69,73,4.07,MV,1681518543
143,goma,-1.6792,29.2228,16.43,91,99,1.24,CD,1681518543
144,grindavik,63.8424,-22.4338,4.26,87,0,1.03,IS,1681518543
145,butaritari,3.0707,172.7902,27.49,79,53,3.87,KI,1681518544
146,ribeira grande,38.5167,-28.7,17.65,91,98,10.73,PT,1681518544
147,shetpe,44.1667,52.1167,10.71,64,99,10.63,KZ,1681518544
148,lake city,30.1897,-82.6393,23.77,49,0,2.57,US,1681518545
149,kushima,31.4583,131.2333,18.17,97,100,1.16,JP,1681518545
150,agde,43.3108,3.4758,13.02,72,0,9.77,FR,1681518546
151,svetlyy,54.675,20.1347,10.03,85,95,6.66,RU,1681518546
152,zhanakorgan,43.9098,67.2495,18.52,45,94,7.03,KZ,1681518547
153,mengen,48.0495,9.3301,4.42,86,53,0.29,DE,1681518547
154,sisimiut,66.9395,-53.6735,-4.67,76,13,4.36,GL,1681518547
155,villa carlos paz,-31.4241,-64.4978,13.55,41,75,4.47,AR,1681518547
156,hasaki,35.7333,140.8333,16.79,74,100,4.85,JP,1681518548
157,inhambane,-23.865,35.3833,22.77,90,21,4.88,MZ,1681518548
158,tabou,4.423,-7.3528,26.88,85,99,3.52,CI,1681518548
159,solnechnyy,50.7214,136.6319,1.27,48,99,0.91,RU,1681518548
160,east london,-33.0153,27.9116,15.7,62,23,7.22,ZA,1681518549
161,nelipyno,48.561,23.0315,9.27,95,100,0.87,UA,1681518250
162,bethel,41.3712,-73.414,26.05,43,0,3.6,US,1681518549
163,awbari,26.5921,12.7805,21.94,11,0,2.03,LY,1681518550
164,kununurra,-15.7667,128.7333,28.99,79,89,2.57,AU,1681518376
165,basco,20.4487,121.9702,26.25,86,11,5.2,PH,1681518550
166,maniitsoq,65.4167,-52.9,-0.75,81,27,3.39,GL,1681518550
167,jiwani,25.05,61.7417,27.05,69,22,7.22,PK,1681518251
168,sakaiminato,35.55,133.2333,13.99,94,75,3.09,JP,1681518551
169,planadas,3.197,-75.6451,23.24,88,87,1.9,CO,1681518551
